Beras,Cabai Merah,Cabai Merah Keriting,Cabai Rawit,Cabai Rawit Hijau,Cabai Rawit Merah,Bawang Merah,Bawang Putih,Tanggal Lengkap
11750.0,61250.0,62500.0,72500.0,60000.0,85000.0,31750.0,28500.0,2021-01-04
11750.0,61250.0,62500.0,73750.0,60000.0,87500.0,31750.0,28500.0,2021-01-05
11750.0,61250.0,62500.0,73750.0,60000.0,87500.0,31750.0,28500.0,2021-01-06
11750.0,61250.0,62500.0,75000.0,62500.0,87500.0,31750.0,28500.0,2021-01-07
11750.0,61250.0,62500.0,75000.0,62500.0,87500.0,31750.0,28500.0,2021-01-08
11750.0,60000.0,60000.0,73750.0,62500.0,85000.0,31750.0,28500.0,2021-01-11
11750.0,58750.0,60000.0,73750.0,62500.0,85000.0,31750.0,28500.0,2021-01-12
11750.0,58750.0,60000.0,73750.0,62500.0,85000.0,31750.0,28500.0,2021-01-13
11750.0,58750.0,60000.0,75000.0,65000.0,85000.0,31750.0,28500.0,2021-01-14
11750.0,55000.0,52500.0,75000.0,65000.0,85000.0,31750.0,28500.0,2021-01-15
11750.0,55000.0,52500.0,72500.0,65000.0,80000.0,31750.0,28500.0,2021-01-18
11750.0,55000.0,52500.0,72500.0,65000.0,80000.0,31750.0,28500.0,2021-01-19
11750.0,56250.0,53750.0,75000.0,70000.0,80000.0,32250.0,28500.0,2021-01-20
11750.0,56250.0,53750.0,75000.0,70000.0,80000.0,32250.0,28500.0,2021-01-21
11750.0,56250.0,53750.0,75000.0,70000.0,80000.0,32250.0,28500.0,2021-01-22
11750.0,53750.0,53750.0,75000.0,70000.0,80000.0,32250.0,28500.0,2021-01-25
11750.0,53750.0,53750.0,75000.0,72500.0,77500.0,32250.0,28500.0,2021-01-26
11750.0,50650.0,48750.0,75000.0,72500.0,77500.0,32250.0,28500.0,2021-01-27
11750.0,50650.0,48750.0,75000.0,72500.0,77500.0,32250.0,28500.0,2021-01-28
11750.0,50650.0,48750.0,75000.0,72500.0,77500.0,32250.0,28500.0,2021-01-29
11750.0,53150.0,53750.0,75000.0,72500.0,77500.0,32250.0,28500.0,2021-02-01
11750.0,53150.0,53750.0,75000.0,72500.0,77500.0,32250.0,28500.0,2021-02-02
11750.0,55000.0,57500.0,75000.0,72500.0,77500.0,32250.0,28500.0,2021-02-03
11750.0,55000.0,57500.0,75000.0,72500.0,77500.0,32250.0,28500.0,2021-02-04
11750.0,55000.0,57500.0,75000.0,72500.0,77500.0,32250.0,28500.0,2021-02-05
11750.0,60000.0,62500.0,76250.0,75000.0,77500.0,32250.0,28500.0,2021-02-08
